地名,区划码,县级,县级码,县级类,地级,地级码,地级类,省级,省级码,省级类,曾用名,备注,ENG_NAME,VAR_NAME,code,NAME_3,VAR_NAME3,GID_3,TYPE_3,NAME_2,VAR_NAME2,GID_2,TYPE_2,NAME_1,VAR_NAME1,GID_1,TYPE_1,year,ag_burn_count
抚松县,220621.0,抚松县,220621.0,县,白山市,220600.0,地级市,吉林省,220000.0,省,,,Fusong,Fǔ Sōng,220621.0,Fusong,FǔSōng,220621.0,,Baishan,Bái Shān,220600.0,,Jilin,Jí Lín,220000.0,Province,2015.0,0
府谷县,610822.0,府谷县,610822.0,县,榆林市,610800.0,地级市,陕西省,610000.0,省,,,Fugu,,610822.0,Fugu,,610822.0,,Yulin,Yú Lín,610800.0,,Shanxi,Shǎn Xī,610000.0,Province,2015.0,0
阜城县,131128.0,阜城县,131128.0,县,衡水市,131100.0,地级市,河北省,130000.0,省,,,Fucheng,Fù Chéng,131128.0,Fucheng,FùChéng,131128.0,,Hengshui,Héng Shuǐ,131100.0,,Hebei,Hé Běi,130000.0,Province,2015.0,0
阜康市,652302.0,阜康市,652302.0,县级市,昌吉回族自治州,652300.0,自治州,新疆维吾尔自治区,650000.0,自治区,,,Fukang,Fù Kāng,652302.0,Fukang,FùKāng,652302.0,,Changjihuizu,Chāng Jí Huí Zú,652300.0,,Xinjiang,Xīn Jiāng,650000.0,,2015.0,0
阜南县,341225.0,阜南县,341225.0,县,阜阳市,341200.0,地级市,安徽省,340000.0,省,,,Funan,,341225.0,Funan,,341225.0,,Fuyang,Fù Yáng,341200.0,,Anhui,,340000.0,Province,2015.0,0
阜宁县,320923.0,阜宁县,320923.0,县,盐城市,320900.0,地级市,江苏省,320000.0,省,,,Funing,,320923.0,Funing,,320923.0,,Yancheng,Yán Chéng,320900.0,,Jiangsu,Jiāng Sū,320000.0,Province,2015.0,0
阜平县,130624.0,阜平县,130624.0,县,保定市,130600.0,地级市,河北省,130000.0,省,,,Fuping,Fù Píng,130624.0,Fuping,FùPíng,130624.0,,Baoding,Bǎo Dìng,130600.0,,Hebei,Hé Běi,130000.0,Province,2015.0,0
阜新蒙古族自治县,210921.0,阜新蒙古族自治县,210921.0,自治县,阜新市,210900.0,地级市,辽宁省,210000.0,省,,,Fuxinmengguzu,,210921.0,Fuxinmengguzu,,210921.0,,Fuxin,Fù Xīn,210900.0,,Liaoning,,210000.0,Province,2015.0,0
复兴区,130404.0,复兴区,130404.0,市辖区,邯郸市,130400.0,地级市,河北省,130000.0,省,,,Fuxing,,130404.0,Fuxing,,130404.0,,Handan,Hán Dān,130400.0,,Hebei,Hé Běi,130000.0,Province,2015.0,0
富川瑶族自治县,451123.0,富川瑶族自治县,451123.0,自治县,贺州市,451100.0,地级市,广西壮族自治区,450000.0,自治区,,,Fuchuanyaozu,Fù Chuān Yáo Zú,451123.0,Fuchuanyaozu,FùChuānYáoZú,451123.0,,Hezhou,Hè Zhōu,451100.0,,Guangxi,,450000.0,,2015.0,0
富锦市,230882.0,富锦市,230882.0,县级市,佳木斯市,230800.0,地级市,黑龙江省,230000.0,省,,,Fujin,Fù Jǐn,230882.0,Fujin,FùJǐn,230882.0,,Jiamusi,Jiā Mù Sī,230800.0,,Heilongjiang,Hēi Lóng Jiāng,230000.0,Province,2015.0,1702
富拉尔基区,230206.0,富拉尔基区,230206.0,市辖区,齐齐哈尔市,230200.0,地级市,黑龙江省,230000.0,省,,,Fulaerji,,230206.0,Fulaerji,,230206.0,,Qiqihaer,,230200.0,,Heilongjiang,Hēi Lóng Jiāng,230000.0,Province,2015.0,59
富民县,530124.0,富民县,530124.0,县,昆明市,530100.0,地级市,云南省,530000.0,省,,,Fumin,Fù Mín,530124.0,Fumin,FùMín,530124.0,,Kunming,Kūn Míng,530100.0,,Yunnan,,530000.0,Province,2015.0,0
富宁县,532628.0,富宁县,532628.0,县,文山壮族苗族自治州,532600.0,自治州,云南省,530000.0,省,,,Funing,,532628.0,Funing,,532628.0,,Wenshanzhuangzumiaozu,Wén Shān Zhuàng Zú Miáo Zú,532600.0,,Yunnan,,530000.0,Province,2015.0,0
富平县,610528.0,富平县,610528.0,县,渭南市,610500.0,地级市,陕西省,610000.0,省,,,Fuping,Fù Píng,610528.0,Fuping,FùPíng,610528.0,,Weinan,,610500.0,,Shanxi,Shǎn Xī,610000.0,Province,2015.0,0
富顺县,510322.0,富顺县,510322.0,县,自贡市,510300.0,地级市,四川省,510000.0,省,,,Fushun,Fù Shùn,510322.0,Fushun,FùShùn,510322.0,,Zigong,Zì Gòng,510300.0,,Sichuan,Sì Chuān,510000.0,Province,2015.0,0
富县,610628.0,富县,610628.0,县,延安市,610600.0,地级市,陕西省,610000.0,省,,,Fuxian,Fù Xiàn,610628.0,Fuxian,FùXiàn,610628.0,,Yanan,,610600.0,,Shanxi,Shǎn Xī,610000.0,Province,2015.0,0
富阳区,330111.0,富阳区,330111.0,市辖区,杭州市,330100.0,地级市,浙江省,330000.0,省,富阳市,2014年撤销富阳市，设立富阳区,Fuyang,Fù Yáng,330111.0,Fuyang,FùYáng,330111.0,,Hangzhou,Háng Zhōu,330100.0,,Zhejiang,Zhè Jiāng,330000.0,Province,2015.0,0
