地名,year,fire_count,frp_sum,frp_mean
上蔡县,2013,116,3908.6,33.694828
上蔡县,2014,267,13139.4,49.21124
上蔡县,2015,364,21537.8,59.16978
上蔡县,2016,8,82.8,10.35
上蔡县,2017,13,117.200005,9.015385
上蔡县,2018,6,66.1,11.016666
上蔡县,2019,7,107.0,15.285714
上虞区,2010,21,255.0,12.142858
上虞区,2011,12,117.2,9.766666
上虞区,2012,20,190.9,9.545
上虞区,2013,18,180.3,10.016666
上虞区,2014,21,180.1,8.576191
上虞区,2015,15,165.4,11.026667
上虞区,2016,14,124.799995,8.914286
上虞区,2017,12,110.7,9.224999
上虞区,2018,27,216.7,8.025926
上虞区,2019,22,155.4,7.0636363
上街区,2010,2,15.4,7.7
上街区,2011,8,69.1,8.6375
上街区,2012,2,19.0,9.5
上街区,2013,8,86.6,10.825
上街区,2014,17,189.5,11.1470585
上街区,2015,14,158.90001,11.35
上街区,2016,15,162.8,10.853333
上街区,2017,24,287.2,11.966667
上街区,2018,16,161.4,10.0875
上街区,2019,12,113.5,9.458333
上饶县,2010,6,51.100002,8.516667
上饶县,2011,100,3136.9,31.369
上饶县,2012,12,202.1,16.841667
上饶县,2013,54,1440.3,26.672224
上饶县,2014,91,2454.4,26.971428
上饶县,2015,36,846.0,23.5
上饶县,2016,20,387.2,19.36
上饶县,2017,31,528.4,17.045162
上饶县,2018,34,377.7,11.108824
上饶县,2019,71,1391.9,19.604225
上高县,2010,17,532.2,31.305883
上高县,2011,22,226.1,10.277273
上高县,2012,28,662.4,23.657145
上高县,2013,17,265.0,15.588235
上高县,2014,16,204.5,12.78125
上高县,2015,29,454.2,15.662069
上高县,2016,22,277.1,12.595455
上高县,2017,19,284.9,14.994737
上高县,2018,14,186.8,13.342857
上高县,2019,12,127.0,10.583333
下城区,2010,2,21.0,10.5
下花园区,2011,4,42.9,10.725
下花园区,2012,7,157.1,22.442858
下花园区,2013,2,34.0,17.0
下花园区,2014,11,268.3,24.390907
下花园区,2015,2,54.0,27.0
下花园区,2017,4,71.6,17.9
下花园区,2018,4,44.1,11.025
下花园区,2019,2,14.1,7.05
下陆区,2010,1,10.0,10.0
下陆区,2011,2,19.7,9.85
下陆区,2012,3,33.3,11.099999
下陆区,2013,3,81.8,27.266668
下陆区,2019,5,132.0,26.4
且末县,2010,8,89.8,11.225
且末县,2011,13,178.9,13.761538
且末县,2012,6,69.0,11.5
且末县,2013,7,171.6,24.514286
且末县,2014,4,50.899998,12.724999
且末县,2015,7,89.1,12.728571
且末县,2016,5,59.5,11.9
且末县,2017,3,44.3,14.766666
丘北县,2010,607,11361.4,18.717299
丘北县,2011,43,702.8,16.344185
丘北县,2012,358,6776.2,18.927933
丘北县,2013,239,4179.9,17.48912
丘北县,2014,495,8919.4,18.018991
丘北县,2015,207,2860.9,13.820772
丘北县,2016,378,7286.5,19.276455
丘北县,2017,129,2111.1,16.365116
丘北县,2018,354,7072.3,19.978249
丘北县,2019,351,6621.9,18.865812
丛台区,2011,2,25.6,12.8
丛台区,2012,8,72.6,9.075
丛台区,2013,12,107.399994,8.95
丛台区,2014,7,73.8,10.542857
丛台区,2015,5,135.2,27.039999
丛台区,2016,5,49.1,9.82
丛台区,2017,6,52.5,8.75
丛台区,2018,2,30.0,15.0
东丰县,2010,5,87.9,17.58
东丰县,2011,19,195.6,10.294737
东丰县,2012,15,140.1,9.34
东丰县,2013,9,85.3,9.477778
东丰县,2014,45,476.3,10.584444
东丰县,2015,54,724.3,13.412963
东丰县,2016,23,179.4,7.7999997
东丰县,2017,108,1541.6,14.274074
东丰县,2018,28,375.5,13.410714
东丰县,2019,32,562.9,17.590626
东丽区,2010,97,950.5,9.798969
东丽区,2011,109,1045.1,9.588073
东丽区,2012,117,1051.3,8.985471
东丽区,2013,115,966.2,8.401739
东丽区,2014,45,488.9,10.864445
东丽区,2015,40,575.10004,14.377501
